Title = "Equation Residuals in Tecplot ASCII Format Generated by ASOP(R) Flow Solver 2.5 : v2.5.7"
 Variables = "No", "Res-Eqn_01", "Res-Eqn_02", "Res-Eqn_03", "Res-Eqn_04", "Res-Eqn_05", "Mass_In-01", "Mass_Ex-01", "PT_In-01", "PT_Ex-01", "TT_In-01", "TT_Ex-01",
       380  0.222978E+00  0.122078E+01  0.687860E+01  0.000000E+00  0.343412E+00  0.229532E+02  0.911018E+02  0.142642E+06  0.981836E+05  0.286160E+03  0.279062E+03
       390  0.224803E+00  0.120774E+01  0.632564E+01  0.000000E+00  0.345946E+00  0.229383E+02  0.898094E+02  0.142639E+06  0.979882E+05  0.286147E+03  0.278931E+03
       400  0.227666E+00  0.119434E+01  0.562186E+01  0.000000E+00  0.349596E+00  0.232363E+02  0.884148E+02  0.142616E+06  0.977855E+05  0.286126E+03  0.278790E+03
       410  0.229883E+00  0.118047E+01  0.543573E+01  0.000000E+00  0.352100E+00  0.237254E+02  0.869481E+02  0.142590E+06  0.975799E+05  0.286109E+03  0.278638E+03
       420  0.231298E+00  0.116608E+01  0.556954E+01  0.000000E+00  0.353328E+00  0.242881E+02  0.854499E+02  0.142568E+06  0.973763E+05  0.286097E+03  0.278479E+03
       430  0.232778E+00  0.115077E+01  0.552508E+01  0.000000E+00  0.354572E+00  0.248276E+02  0.839676E+02  0.142551E+06  0.971797E+05  0.286089E+03  0.278314E+03
       440  0.234836E+00  0.113424E+01  0.512793E+01  0.000000E+00  0.356629E+00  0.252646E+02  0.825498E+02  0.142535E+06  0.969961E+05  0.286082E+03  0.278148E+03
       450  0.237001E+00  0.111639E+01  0.449228E+01  0.000000E+00  0.358901E+00  0.255286E+02  0.812388E+02  0.142522E+06  0.968319E+05  0.286078E+03  0.277985E+03
       460  0.238136E+00  0.109745E+01  0.390873E+01  0.000000E+00  0.359824E+00  0.255611E+02  0.800637E+02  0.142514E+06  0.966923E+05  0.286077E+03  0.277834E+03
       470  0.237328E+00  0.107818E+01  0.370407E+01  0.000000E+00  0.358117E+00  0.253485E+02  0.790357E+02  0.142515E+06  0.965797E+05  0.286083E+03  0.277701E+03
       480  0.234751E+00  0.105953E+01  0.387353E+01  0.000000E+00  0.353996E+00  0.249622E+02  0.781487E+02  0.142528E+06  0.964913E+05  0.286094E+03  0.277591E+03
       490  0.231593E+00  0.104235E+01  0.406001E+01  0.000000E+00  0.349076E+00  0.245558E+02  0.773814E+02  0.142549E+06  0.964195E+05  0.286107E+03  0.277504E+03
       500  0.229175E+00  0.102722E+01  0.396680E+01  0.000000E+00  0.345132E+00  0.243002E+02  0.767013E+02  0.142568E+06  0.963542E+05  0.286115E+03  0.277433E+03
       510  0.228178E+00  0.101423E+01  0.368204E+01  0.000000E+00  0.343049E+00  0.243087E+02  0.760677E+02  0.142574E+06  0.962861E+05  0.286114E+03  0.277373E+03
       520  0.228455E+00  0.100296E+01  0.339641E+01  0.000000E+00  0.342588E+00  0.246047E+02  0.754369E+02  0.142562E+06  0.962088E+05  0.286101E+03  0.277315E+03
       530  0.229389E+00  0.992855E+00  0.328879E+01  0.000000E+00  0.342895E+00  0.251370E+02  0.747673E+02  0.142534E+06  0.961189E+05  0.286083E+03  0.277256E+03
       540  0.230474E+00  0.983594E+00  0.337007E+01  0.000000E+00  0.343323E+00  0.258125E+02  0.740241E+02  0.142501E+06  0.960154E+05  0.286064E+03  0.277194E+03
       550  0.231558E+00  0.974837E+00  0.348730E+01  0.000000E+00  0.343745E+00  0.265266E+02  0.731800E+02  0.142468E+06  0.958987E+05  0.286049E+03  0.277126E+03
       560  0.232616E+00  0.966024E+00  0.350790E+01  0.000000E+00  0.344188E+00  0.271837E+02  0.722172E+02  0.142437E+06  0.957710E+05  0.286037E+03  0.277052E+03
       570  0.233526E+00  0.956471E+00  0.340757E+01  0.000000E+00  0.344507E+00  0.277085E+02  0.711289E+02  0.142410E+06  0.956351E+05  0.286028E+03  0.276973E+03
       580  0.234067E+00  0.945633E+00  0.322553E+01  0.000000E+00  0.344380E+00  0.280515E+02  0.699232E+02  0.142387E+06  0.954943E+05  0.286023E+03  0.276886E+03
       590  0.233608E+00  0.932734E+00  0.299971E+01  0.000000E+00  0.342929E+00  0.281648E+02  0.686255E+02  0.142375E+06  0.953515E+05  0.286024E+03  0.276792E+03
